Id,Port Number,Service Name,Transport Protocol,Description
1,0,,tcp,Reserved
2,0,,udp,Reserved
3,1,tcpmux,tcp,TCP Port Service Multiplexer
4,1,tcpmux,udp,TCP Port Service Multiplexer
5,2,compressnet,tcp,Management Utility
6,2,compressnet,udp,Management Utility
7,3,compressnet,tcp,Compression Process
8,3,compressnet,udp,Compression Process
9,4,,tcp,Unassigned
10,4,,udp,Unassigned
11,5,rje,tcp,Remote Job Entry
12,5,rje,udp,Remote Job Entry
13,6,,tcp,Unassigned
14,6,,udp,Unassigned
15,7,echo,tcp,Echo
16,7,echo,udp,Echo
17,8,,tcp,Unassigned
18,8,,udp,Unassigned
19,9,discard,tcp,Discard
20,9,discard,udp,Discard
21,9,discard,sctp,Discard
22,9,discard,dccp,Discard
23,10,,tcp,Unassigned
24,10,,udp,Unassigned
25,11,systat,tcp,Active Users
26,11,systat,udp,Active Users
27,12,,tcp,Unassigned
28,12,,udp,Unassigned
29,13,daytime,tcp,Daytime
30,13,daytime,udp,Daytime
31,14,,tcp,Unassigned
32,14,,udp,Unassigned
33,15,,tcp,Unassigned [was netstat]
34,15,,udp,Unassigned
35,16,,tcp,Unassigned
36,16,,udp,Unassigned
37,17,qotd,tcp,Quote of the Day
38,17,qotd,udp,Quote of the Day
39,18,msp,tcp,Message Send Protocol (historic)
40,18,msp,udp,Message Send Protocol (historic)
41,19,chargen,tcp,Character Generator
42,19,chargen,udp,Character Generator
43,20,ftp-data,tcp,File Transfer [Default Data]
44,20,ftp-data,udp,File Transfer [Default Data]
45,20,ftp-data,sctp,FTP
46,21,ftp,tcp,File Transfer Protocol [Control]
47,21,ftp,udp,File Transfer Protocol [Control]
48,21,ftp,sctp,FTP
49,22,ssh,tcp,The Secure Shell (SSH) Protocol
50,22,ssh,udp,The Secure Shell (SSH) Protocol
51,22,ssh,sctp,SSH
52,23,telnet,tcp,Telnet
53,23,telnet,udp,Telnet
54,24,,tcp,any private mail system
55,24,,udp,any private mail system
56,25,smtp,tcp,Simple Mail Transfer
57,25,smtp,udp,Simple Mail Transfer
58,26,,tcp,Unassigned
59,26,,udp,Unassigned
60,27,nsw-fe,tcp,NSW User System FE
61,27,nsw-fe,udp,NSW User System FE
62,28,,tcp,Unassigned
63,28,,udp,Unassigned
64,29,msg-icp,tcp,MSG ICP
65,29,msg-icp,udp,MSG ICP
66,30,,tcp,Unassigned
67,30,,udp,Unassigned
68,31,msg-auth,tcp,MSG Authentication
69,31,msg-auth,udp,MSG Authentication
70,32,,tcp,Unassigned
71,32,,udp,Unassigned
72,33,dsp,tcp,Display Support Protocol
73,33,dsp,udp,Display Support Protocol
74,34,,tcp,Unassigned
75,34,,udp,Unassigned
76,35,,tcp,any private printer server
77,35,,udp,any private printer server
78,36,,tcp,Unassigned
79,36,,udp,Unassigned
80,37,time,tcp,Time
81,37,time,udp,Time
82,38,rap,tcp,Route Access Protocol
83,38,rap,udp,Route Access Protocol
84,39,rlp,tcp,Resource Location Protocol
85,39,rlp,udp,Resource Location Protocol
86,40,,tcp,Unassigned
87,40,,udp,Unassigned
88,41,graphics,tcp,Graphics
89,41,graphics,udp,Graphics
90,42,name,tcp,Host Name Server
91,42,name,udp,Host Name Server
92,42,nameserver,tcp,Host Name Server
93,42,nameserver,udp,Host Name Server
94,43,nicname,tcp,Who Is
95,43,nicname,udp,Who Is
96,44,mpm-flags,tcp,MPM FLAGS Protocol
97,44,mpm-flags,udp,MPM FLAGS Protocol
98,45,mpm,tcp,Message Processing Module [recv]
99,45,mpm,udp,Message Processing Module [recv]
100,46,mpm-snd,tcp,MPM [default send]
101,46,mpm-snd,udp,MPM [default send]
102,47,ni-ftp,tcp,NI FTP
103,47,ni-ftp,udp,NI FTP
104,48,auditd,tcp,Digital Audit Daemon
105,48,auditd,udp,Digital Audit Daemon
106,49,tacacs,tcp,Login Host Protocol (TACACS)
107,49,tacacs,udp,Login Host Protocol (TACACS)
108,50,re-mail-ck,tcp,Remote Mail Checking Protocol
109,50,re-mail-ck,udp,Remote Mail Checking Protocol
110,51,,,Reserved
111,52,xns-time,tcp,XNS Time Protocol
112,52,xns-time,udp,XNS Time Protocol
113,53,domain,tcp,Domain Name Server
114,53,domain,udp,Domain Name Server
115,54,xns-ch,tcp,XNS Clearinghouse
116,54,xns-ch,udp,XNS Clearinghouse
117,55,isi-gl,tcp,ISI Graphics Language
118,55,isi-gl,udp,ISI Graphics Language
119,56,xns-auth,tcp,XNS Authentication
120,56,xns-auth,udp,XNS Authentication
121,57,,tcp,any private terminal access
122,57,,udp,any private terminal access
123,58,xns-mail,tcp,XNS Mail
124,58,xns-mail,udp,XNS Mail
125,59,,tcp,any private file service
126,59,,udp,any private file service
127,60,,tcp,Unassigned
128,60,,udp,Unassigned
129,61,ni-mail,tcp,NI MAIL
130,61,ni-mail,udp,NI MAIL
131,62,acas,tcp,ACA Services
132,62,acas,udp,ACA Services
133,63,whoispp,tcp,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
134,63,whois++,tcp,whois++
135,63,whoispp,udp,"whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
136,63,whois++,udp,whois++
137,64,covia,tcp,Communications Integrator (CI)
138,64,covia,udp,Communications Integrator (CI)
139,65,tacacs-ds,tcp,TACACS-Database Service
140,65,tacacs-ds,udp,TACACS-Database Service
141,66,sql-net,tcp,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
142,66,sql*net,tcp,Oracle SQL*NET
143,66,sql-net,udp,"Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
144,66,sql*net,udp,Oracle SQL*NET
145,67,bootps,tcp,Bootstrap Protocol Server
146,67,bootps,udp,Bootstrap Protocol Server
147,68,bootpc,tcp,Bootstrap Protocol Client
148,68,bootpc,udp,Bootstrap Protocol Client
149,69,tftp,tcp,Trivial File Transfer
150,69,tftp,udp,Trivial File Transfer
151,70,gopher,tcp,Gopher
152,70,gopher,udp,Gopher
153,71,netrjs-1,tcp,Remote Job Service
154,71,netrjs-1,udp,Remote Job Service
155,72,netrjs-2,tcp,Remote Job Service
156,72,netrjs-2,udp,Remote Job Service
157,73,netrjs-3,tcp,Remote Job Service
158,73,netrjs-3,udp,Remote Job Service
159,74,netrjs-4,tcp,Remote Job Service
160,74,netrjs-4,udp,Remote Job Service
161,75,,tcp,any private dial out service
162,75,,udp,any private dial out service
163,76,deos,tcp,Distributed External Object Store
164,76,deos,udp,Distributed External Object Store
165,77,,tcp,any private RJE service
166,77,,udp,any private RJE service
167,78,vettcp,tcp,vettcp
168,78,vettcp,udp,vettcp
169,79,finger,tcp,Finger
170,79,finger,udp,Finger
171,80,http,tcp,World Wide Web HTTP
172,80,http,udp,World Wide Web HTTP
173,80,www,tcp,World Wide Web HTTP
174,80,www,udp,World Wide Web HTTP
175,80,www-http,tcp,World Wide Web HTTP
176,80,www-http,udp,World Wide Web HTTP
177,80,http,sctp,HTTP
178,81,,,Unassigned
179,82,xfer,tcp,XFER Utility
180,82,xfer,udp,XFER Utility
181,83,mit-ml-dev,tcp,MIT ML Device
182,83,mit-ml-dev,udp,MIT ML Device
183,84,ctf,tcp,Common Trace Facility
184,84,ctf,udp,Common Trace Facility
185,85,mit-ml-dev,tcp,MIT ML Device
186,85,mit-ml-dev,udp,MIT ML Device
187,86,mfcobol,tcp,Micro Focus Cobol
188,86,mfcobol,udp,Micro Focus Cobol
189,87,,tcp,any private terminal link
190,87,,udp,any private terminal link
191,88,kerberos,tcp,Kerberos
192,88,kerberos,udp,Kerberos
193,89,su-mit-tg,tcp,SU/MIT Telnet Gateway
194,89,su-mit-tg,udp,SU/MIT Telnet Gateway
195,90,dnsix,tcp,DNSIX Securit Attribute Token Map
196,90,dnsix,udp,DNSIX Securit Attribute Token Map
197,91,mit-dov,tcp,MIT Dover Spooler
198,91,mit-dov,udp,MIT Dover Spooler
199,92,npp,tcp,Network Printing Protocol
200,92,npp,udp,Network Printing Protocol
201,93,dcp,tcp,Device Control Protocol
202,93,dcp,udp,Device Control Protocol
203,94,objcall,tcp,Tivoli Object Dispatcher
204,94,objcall,udp,Tivoli Object Dispatcher
205,95,supdup,tcp,SUPDUP
206,95,supdup,udp,SUPDUP
207,96,dixie,tcp,DIXIE Protocol Specification
208,96,dixie,udp,DIXIE Protocol Specification
209,97,swift-rvf,tcp,Swift Remote Virtural File Protocol
210,97,swift-rvf,udp,Swift Remote Virtural File Protocol
211,98,tacnews,tcp,TAC News
212,98,tacnews,udp,TAC News
213,99,metagram,tcp,Metagram Relay
214,99,metagram,udp,Metagram Relay
215,100,,,Unassigned
216,101,hostname,tcp,NIC Host Name Server
217,101,hostname,udp,NIC Host Name Server
218,102,iso-tsap,tcp,ISO-TSAP Class 0
219,102,iso-tsap,udp,ISO-TSAP Class 0
220,103,gppitnp,tcp,Genesis Point-to-Point Trans Net
221,103,gppitnp,udp,Genesis Point-to-Point Trans Net
222,104,acr-nema,tcp,ACR-NEMA Digital Imag. & Comm. 300
223,104,acr-nema,udp,ACR-NEMA Digital Imag. & Comm. 300
224,105,cso,tcp,CCSO name server protocol
225,105,cso,udp,CCSO name server protocol
226,105,csnet-ns,tcp,Mailbox Name Nameserver
227,105,csnet-ns,udp,Mailbox Name Nameserver
228,106,3com-tsmux,tcp,3COM-TSMUX
229,106,3com-tsmux,udp,3COM-TSMUX
230,107,rtelnet,tcp,Remote Telnet Service
231,107,rtelnet,udp,Remote Telnet Service
232,108,snagas,tcp,SNA Gateway Access Server
233,108,snagas,udp,SNA Gateway Access Server
234,109,pop2,tcp,Post Office Protocol - Version 2
235,109,pop2,udp,Post Office Protocol - Version 2
236,110,pop3,tcp,Post Office Protocol - Version 3
237,110,pop3,udp,Post Office Protocol - Version 3
238,111,sunrpc,tcp,SUN Remote Procedure Call
239,111,sunrpc,udp,SUN Remote Procedure Call
240,112,mcidas,tcp,McIDAS Data Transmission Protocol
241,112,mcidas,udp,McIDAS Data Transmission Protocol
242,113,ident,tcp,
243,113,auth,tcp,Authentication Service
244,113,auth,udp,Authentication Service
245,114,,,unassigned
246,115,sftp,tcp,Simple File Transfer Protocol
247,115,sftp,udp,Simple File Transfer Protocol
248,116,ansanotify,tcp,ANSA REX Notify
249,116,ansanotify,udp,ANSA REX Notify
250,117,uucp-path,tcp,UUCP Path Service
251,117,uucp-path,udp,UUCP Path Service
252,118,sqlserv,tcp,SQL Services
253,118,sqlserv,udp,SQL Services
254,119,nntp,tcp,Network News Transfer Protocol
255,119,nntp,udp,Network News Transfer Protocol
256,120,cfdptkt,tcp,CFDPTKT
257,120,cfdptkt,udp,CFDPTKT
258,121,erpc,tcp,Encore Expedited Remote Pro.Call
259,121,erpc,udp,Encore Expedited Remote Pro.Call
260,122,smakynet,tcp,SMAKYNET
261,122,smakynet,udp,SMAKYNET
262,123,ntp,tcp,Network Time Protocol
263,123,ntp,udp,Network Time Protocol
264,124,ansatrader,tcp,ANSA REX Trader
265,124,ansatrader,udp,ANSA REX Trader
266,125,locus-map,tcp,Locus PC-Interface Net Map Ser
267,125,locus-map,udp,Locus PC-Interface Net Map Ser
268,126,nxedit,tcp,NXEdit
269,126,nxedit,udp,NXEdit
270,127,locus-con,tcp,Locus PC-Interface Conn Server
271,127,locus-con,udp,Locus PC-Interface Conn Server
272,128,gss-xlicen,tcp,GSS X License Verification
273,128,gss-xlicen,udp,GSS X License Verification
274,129,pwdgen,tcp,Password Generator Protocol
275,129,pwdgen,udp,Password Generator Protocol
276,130,cisco-fna,tcp,cisco FNATIVE
277,130,cisco-fna,udp,cisco FNATIVE
278,131,cisco-tna,tcp,cisco TNATIVE
279,131,cisco-tna,udp,cisco TNATIVE
280,132,cisco-sys,tcp,cisco SYSMAINT
281,132,cisco-sys,udp,cisco SYSMAINT
282,133,statsrv,tcp,Statistics Service
283,133,statsrv,udp,Statistics Service
284,134,ingres-net,tcp,INGRES-NET Service
285,134,ingres-net,udp,INGRES-NET Service
286,135,epmap,tcp,DCE endpoint resolution
287,135,epmap,udp,DCE endpoint resolution
288,136,profile,tcp,PROFILE Naming System
289,136,profile,udp,PROFILE Naming System
290,137,netbios-ns,tcp,NETBIOS Name Service
291,137,netbios-ns,udp,NETBIOS Name Service
292,138,netbios-dgm,tcp,NETBIOS Datagram Service
293,138,netbios-dgm,udp,NETBIOS Datagram Service
294,139,netbios-ssn,tcp,NETBIOS Session Service
295,139,netbios-ssn,udp,NETBIOS Session Service
296,140,emfis-data,tcp,EMFIS Data Service
297,140,emfis-data,udp,EMFIS Data Service
298,141,emfis-cntl,tcp,EMFIS Control Service
299,141,emfis-cntl,udp,EMFIS Control Service
300,142,bl-idm,tcp,Britton-Lee IDM
301,142,bl-idm,udp,Britton-Lee IDM
302,143,imap,tcp,Internet Message Access Protocol
303,143,imap,udp,Internet Message Access Protocol
304,144,uma,tcp,Universal Management Architecture
305,144,uma,udp,Universal Management Architecture
306,145,uaac,tcp,UAAC Protocol
307,145,uaac,udp,UAAC Protocol
308,146,iso-tp0,tcp,ISO-IP0
309,146,iso-tp0,udp,ISO-IP0
310,147,iso-ip,tcp,ISO-IP
311,147,iso-ip,udp,ISO-IP
312,148,jargon,tcp,Jargon
313,148,jargon,udp,Jargon
314,149,aed-512,tcp,AED 512 Emulation Service
315,149,aed-512,udp,AED 512 Emulation Service
316,150,sql-net,tcp,SQL-NET
317,150,sql-net,udp,SQL-NET
318,151,hems,tcp,HEMS
319,151,hems,udp,HEMS
320,152,bftp,tcp,Background File Transfer Program
321,152,bftp,udp,Background File Transfer Program
322,153,sgmp,tcp,SGMP
323,153,sgmp,udp,SGMP
324,154,netsc-prod,tcp,NETSC
325,154,netsc-prod,udp,NETSC
326,155,netsc-dev,tcp,NETSC
327,155,netsc-dev,udp,NETSC
328,156,sqlsrv,tcp,SQL Service
329,156,sqlsrv,udp,SQL Service
330,157,knet-cmp,tcp,KNET/VM Command/Message Protocol
331,157,knet-cmp,udp,KNET/VM Command/Message Protocol
332,158,pcmail-srv,tcp,PCMail Server
333,158,pcmail-srv,udp,PCMail Server
334,159,nss-routing,tcp,NSS-Routing
335,159,nss-routing,udp,NSS-Routing
336,160,sgmp-traps,tcp,SGMP-TRAPS
337,160,sgmp-traps,udp,SGMP-TRAPS
338,161,snmp,tcp,SNMP
339,161,snmp,udp,SNMP
340,162,snmptrap,tcp,SNMPTRAP
341,162,snmptrap,udp,SNMPTRAP
342,163,cmip-man,tcp,CMIP/TCP Manager
343,163,cmip-man,udp,CMIP/TCP Manager
344,164,cmip-agent,tcp,CMIP/TCP Agent
345,164,cmip-agent,udp,CMIP/TCP Agent
346,165,xns-courier,tcp,Xerox
347,165,xns-courier,udp,Xerox
348,166,s-net,tcp,Sirius Systems
349,166,s-net,udp,Sirius Systems
350,167,namp,tcp,NAMP
351,167,namp,udp,NAMP
352,168,rsvd,tcp,RSVD
353,168,rsvd,udp,RSVD
354,169,send,tcp,SEND
355,169,send,udp,SEND
356,170,print-srv,tcp,Network PostScript
357,170,print-srv,udp,Network PostScript
358,171,multiplex,tcp,Network Innovations Multiplex
359,171,multiplex,udp,Network Innovations Multiplex
360,172,cl-1,tcp,"Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
361,172,cl/1,tcp,Network Innovations CL/1
362,172,cl-1,udp,"Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
363,172,cl/1,udp,Network Innovations CL/1
364,173,xyplex-mux,tcp,Xyplex
365,173,xyplex-mux,udp,Xyplex
366,174,mailq,tcp,MAILQ
367,174,mailq,udp,MAILQ
368,175,vmnet,tcp,VMNET
369,175,vmnet,udp,VMNET
370,176,genrad-mux,tcp,GENRAD-MUX
371,176,genrad-mux,udp,GENRAD-MUX
372,177,xdmcp,tcp,X Display Manager Control Protocol
373,177,xdmcp,udp,X Display Manager Control Protocol
374,178,nextstep,tcp,NextStep Window Server
375,178,nextstep,udp,NextStep Window Server
376,179,bgp,tcp,Border Gateway Protocol
377,179,bgp,udp,Border Gateway Protocol
378,179,bgp,sctp,BGP
379,180,ris,tcp,Intergraph
380,180,ris,udp,Intergraph
381,181,unify,tcp,Unify
382,181,unify,udp,Unify
383,182,audit,tcp,Unisys Audit SITP
384,182,audit,udp,Unisys Audit SITP
385,183,ocbinder,tcp,OCBinder
386,183,ocbinder,udp,OCBinder
387,184,ocserver,tcp,OCServer
388,184,ocserver,udp,OCServer
389,185,remote-kis,tcp,Remote-KIS
390,185,remote-kis,udp,Remote-KIS
391,186,kis,tcp,KIS Protocol
392,186,kis,udp,KIS Protocol
393,187,aci,tcp,Application Communication Interface
394,187,aci,udp,Application Communication Interface
395,188,mumps,tcp,Plus Five's MUMPS
396,188,mumps,udp,Plus Five's MUMPS
397,189,qft,tcp,Queued File Transport
398,189,qft,udp,Queued File Transport
399,190,gacp,tcp,Gateway Access Control Protocol
400,190,gacp,udp,Gateway Access Control Protocol
401,191,prospero,tcp,Prospero Directory Service
402,191,prospero,udp,Prospero Directory Service
403,192,osu-nms,tcp,OSU Network Monitoring System
404,192,osu-nms,udp,OSU Network Monitoring System
405,193,srmp,tcp,Spider Remote Monitoring Protocol
406,193,srmp,udp,Spider Remote Monitoring Protocol
407,194,irc,tcp,Internet Relay Chat Protocol
408,194,irc,udp,Internet Relay Chat Protocol
409,195,dn6-nlm-aud,tcp,DNSIX Network Level Module Audit
410,195,dn6-nlm-aud,udp,DNSIX Network Level Module Audit
411,196,dn6-smm-red,tcp,DNSIX Session Mgt Module Audit Redir
412,196,dn6-smm-red,udp,DNSIX Session Mgt Module Audit Redir
413,197,dls,tcp,Directory Location Service
414,197,dls,udp,Directory Location Service
415,198,dls-mon,tcp,Directory Location Service Monitor
416,198,dls-mon,udp,Directory Location Service Monitor
417,199,smux,tcp,SMUX
418,199,smux,udp,SMUX
419,200,src,tcp,IBM System Resource Controller
420,200,src,udp,IBM System Resource Controller
421,201,at-rtmp,tcp,AppleTalk Routing Maintenance
422,201,at-rtmp,udp,AppleTalk Routing Maintenance
423,202,at-nbp,tcp,AppleTalk Name Binding
424,202,at-nbp,udp,AppleTalk Name Binding
425,203,at-3,tcp,AppleTalk Unused
426,203,at-3,udp,AppleTalk Unused
427,204,at-echo,tcp,AppleTalk Echo
428,204,at-echo,udp,AppleTalk Echo
429,205,at-5,tcp,AppleTalk Unused
430,205,at-5,udp,AppleTalk Unused
431,206,at-zis,tcp,AppleTalk Zone Information
432,206,at-zis,udp,AppleTalk Zone Information
433,207,at-7,tcp,AppleTalk Unused
434,207,at-7,udp,AppleTalk Unused
435,208,at-8,tcp,AppleTalk Unused
436,208,at-8,udp,AppleTalk Unused
437,209,qmtp,tcp,The Quick Mail Transfer Protocol
438,209,qmtp,udp,The Quick Mail Transfer Protocol
439,210,z39-50,tcp,"ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
440,210,z39.50,tcp,ANSI Z39.50
441,210,z39-50,udp,"ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
442,210,z39.50,udp,ANSI Z39.50
443,211,914c-g,tcp,"Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
444,211,914c/g,tcp,Texas Instruments 914C/G Terminal
445,211,914c-g,udp,"Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
446,211,914c/g,udp,Texas Instruments 914C/G Terminal
447,212,anet,tcp,ATEXSSTR
448,212,anet,udp,ATEXSSTR
449,213,ipx,tcp,IPX
450,213,ipx,udp,IPX
451,214,vmpwscs,tcp,VM PWSCS
452,214,vmpwscs,udp,VM PWSCS
453,215,softpc,tcp,Insignia Solutions
454,215,softpc,udp,Insignia Solutions
455,216,CAIlic,tcp,Computer Associates Int'l License Server
456,216,CAIlic,udp,Computer Associates Int'l License Server
457,217,dbase,tcp,dBASE Unix
458,217,dbase,udp,dBASE Unix
459,218,mpp,tcp,Netix Message Posting Protocol
460,218,mpp,udp,Netix Message Posting Protocol
461,219,uarps,tcp,Unisys ARPs
462,219,uarps,udp,Unisys ARPs
463,220,imap3,tcp,Interactive Mail Access Protocol v3
464,220,imap3,udp,Interactive Mail Access Protocol v3
465,221,fln-spx,tcp,Berkeley rlogind with SPX auth
466,221,fln-spx,udp,Berkeley rlogind with SPX auth
467,222,rsh-spx,tcp,Berkeley rshd with SPX auth
468,222,rsh-spx,udp,Berkeley rshd with SPX auth
469,223,cdc,tcp,Certificate Distribution Center
470,223,cdc,udp,Certificate Distribution Center
471,224,masqdialer,tcp,masqdialer
472,224,masqdialer,udp,masqdialer
473,225,,,Reserved
474,226,,,Reserved
475,227,,,Reserved
476,228,,,Reserved
477,229,,,Reserved
478,230,,,Reserved
479,231,,,Reserved
480,232,,,Reserved
481,233,,,Reserved
482,234,,,Reserved
483,235,,,Reserved
484,236,,,Reserved
485,237,,,Reserved
486,238,,,Reserved
487,239,,,Reserved
488,240,,,Reserved
489,241,,,Reserved
490,242,direct,tcp,Direct
491,242,direct,udp,Direct
492,243,sur-meas,tcp,Survey Measurement
493,243,sur-meas,udp,Survey Measurement
494,244,inbusiness,tcp,inbusiness
495,244,inbusiness,udp,inbusiness
496,245,link,tcp,LINK
497,245,link,udp,LINK
498,246,dsp3270,tcp,Display Systems Protocol
499,246,dsp3270,udp,Display Systems Protocol
500,247,subntbcst-tftp,tcp,"SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
501,247,subntbcst_tftp,tcp,SUBNTBCST_TFTP
502,247,subntbcst-tftp,udp,"SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
503,247,subntbcst_tftp,udp,SUBNTBCST_TFTP
504,248,bhfhs,tcp,bhfhs
505,248,bhfhs,udp,bhfhs
506,249,,,Reserved
507,250,,,Reserved
508,251,,,Reserved
509,252,,,Reserved
510,253,,,Reserved
511,254,,,Reserved
512,255,,,Reserved
513,256,rap,tcp,RAP
514,256,rap,udp,RAP
515,257,set,tcp,Secure Electronic Transaction
516,257,set,udp,Secure Electronic Transaction
517,258,,,Unassigned
518,259,esro-gen,tcp,Efficient Short Remote Operations
519,259,esro-gen,udp,Efficient Short Remote Operations
520,260,openport,tcp,Openport
521,260,openport,udp,Openport
522,261,nsiiops,tcp,IIOP Name Service over TLS/SSL
523,261,nsiiops,udp,IIOP Name Service over TLS/SSL
524,262,arcisdms,tcp,Arcisdms
525,262,arcisdms,udp,Arcisdms
526,263,hdap,tcp,HDAP
527,263,hdap,udp,HDAP
528,264,bgmp,tcp,BGMP
529,264,bgmp,udp,BGMP
530,265,x-bone-ctl,tcp,X-Bone CTL
531,265,x-bone-ctl,udp,X-Bone CTL
532,266,sst,tcp,SCSI on ST
533,266,sst,udp,SCSI on ST
534,267,td-service,tcp,Tobit David Service Layer
535,267,td-service,udp,Tobit David Service Layer
536,268,td-replica,tcp,Tobit David Replica
537,268,td-replica,udp,Tobit David Replica
538,269,manet,tcp,MANET Protocols
539,269,manet,udp,MANET Protocols
540,270,,tcp,Reserved
541,270,gist,udp,Q-mode encapsulation for GIST messages
542,271,pt-tls,tcp,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
543,271,,udp,Reserved
544,272,,,Unassigned
545,273,,,Unassigned
546,274,,,Unassigned
547,275,,,Unassigned
548,276,,,Unassigned
549,277,,,Unassigned
550,278,,,Unassigned
551,279,,,Unassigned
552,280,http-mgmt,tcp,http-mgmt
553,280,http-mgmt,udp,http-mgmt
554,281,personal-link,tcp,Personal Link
555,281,personal-link,udp,Personal Link
556,282,cableport-ax,tcp,Cable Port A/X
557,282,cableport-ax,udp,Cable Port A/X
558,283,rescap,tcp,rescap
559,283,rescap,udp,rescap
560,284,corerjd,tcp,corerjd
561,284,corerjd,udp,corerjd
562,285,,,Unassigned
563,286,fxp,tcp,FXP Communication
564,286,fxp,udp,FXP Communication
565,287,k-block,tcp,K-BLOCK
566,287,k-block,udp,K-BLOCK
567,288,,,Unassigned
568,289,,,Unassigned
569,290,,,Unassigned
570,291,,,Unassigned
571,292,,,Unassigned
572,293,,,Unassigned
573,294,,,Unassigned
574,295,,,Unassigned
575,296,,,Unassigned
576,297,,,Unassigned
577,298,,,Unassigned
578,299,,,Unassigned
579,300,,,Unassigned
580,301,,,Unassigned
581,302,,,Unassigned
582,303,,,Unassigned
583,304,,,Unassigned
584,305,,,Unassigned
585,306,,,Unassigned
586,307,,,Unassigned
587,308,novastorbakcup,tcp,Novastor Backup
588,308,novastorbakcup,udp,Novastor Backup
589,309,entrusttime,tcp,EntrustTime
590,309,entrusttime,udp,EntrustTime
591,310,bhmds,tcp,bhmds
592,310,bhmds,udp,bhmds
593,311,asip-webadmin,tcp,AppleShare IP WebAdmin
594,311,asip-webadmin,udp,AppleShare IP WebAdmin
595,312,vslmp,tcp,VSLMP
596,312,vslmp,udp,VSLMP
597,313,magenta-logic,tcp,Magenta Logic
598,313,magenta-logic,udp,Magenta Logic
599,314,opalis-robot,tcp,Opalis Robot
600,314,opalis-robot,udp,Opalis Robot
601,315,dpsi,tcp,DPSI
602,315,dpsi,udp,DPSI
603,316,decauth,tcp,decAuth
604,316,decauth,udp,decAuth
605,317,zannet,tcp,Zannet
606,317,zannet,udp,Zannet
607,318,pkix-timestamp,tcp,PKIX TimeStamp
608,318,pkix-timestamp,udp,PKIX TimeStamp
609,319,ptp-event,tcp,PTP Event
610,319,ptp-event,udp,PTP Event
611,320,ptp-general,tcp,PTP General
612,320,ptp-general,udp,PTP General
613,321,pip,tcp,PIP
614,321,pip,udp,PIP
615,322,rtsps,tcp,RTSPS
616,322,rtsps,udp,RTSPS
617,323,rpki-rtr,tcp,Resource PKI to Router Protocol
618,323,,udp,Reserved
619,324,rpki-rtr-tls,tcp,Resource PKI to Router Protocol over TLS
620,324,,udp,Reserved
621,325,,,Unassigned
622,326,,,Unassigned
623,327,,,Unassigned
624,328,,,Unassigned
625,329,,,Unassigned
626,330,,,Unassigned
627,331,,,Unassigned
628,332,,,Unassigned
629,333,texar,tcp,Texar Security Port
630,333,texar,udp,Texar Security Port
631,334,,,Unassigned
632,335,,,Unassigned
633,336,,,Unassigned
634,337,,,Unassigned
635,338,,,Unassigned
636,339,,,Unassigned
637,340,,,Unassigned
638,341,,,Unassigned
639,342,,,Unassigned
640,343,,,Unassigned
641,344,pdap,tcp,Prospero Data Access Protocol
642,344,pdap,udp,Prospero Data Access Protocol
643,345,pawserv,tcp,Perf Analysis Workbench
644,345,pawserv,udp,Perf Analysis Workbench
645,346,zserv,tcp,Zebra server
646,346,zserv,udp,Zebra server
647,347,fatserv,tcp,Fatmen Server
648,347,fatserv,udp,Fatmen Server
649,348,csi-sgwp,tcp,Cabletron Management Protocol
650,348,csi-sgwp,udp,Cabletron Management Protocol
651,349,mftp,tcp,mftp
652,349,mftp,udp,mftp
653,350,matip-type-a,tcp,MATIP Type A
654,350,matip-type-a,udp,MATIP Type A
655,351,matip-type-b,tcp,MATIP Type B
656,351,matip-type-b,udp,MATIP Type B
657,351,bhoetty,tcp,bhoetty
658,351,bhoetty,udp,bhoetty
659,352,dtag-ste-sb,tcp,DTAG
660,352,dtag-ste-sb,udp,DTAG
661,352,bhoedap4,tcp,bhoedap4
662,352,bhoedap4,udp,bhoedap4
663,353,ndsauth,tcp,NDSAUTH
664,353,ndsauth,udp,NDSAUTH
665,354,bh611,tcp,bh611
666,354,bh611,udp,bh611
667,355,datex-asn,tcp,DATEX-ASN
668,355,datex-asn,udp,DATEX-ASN
669,356,cloanto-net-1,tcp,Cloanto Net 1
670,356,cloanto-net-1,udp,Cloanto Net 1
671,357,bhevent,tcp,bhevent
672,357,bhevent,udp,bhevent
