Id,Port Number,Service Name,Transport Protocol,Description
27661,21634,,,Unassigned
27662,21635,,,Unassigned
27663,21636,,,Unassigned
27664,21637,,,Unassigned
27665,21638,,,Unassigned
27666,21639,,,Unassigned
27667,21640,,,Unassigned
27668,21641,,,Unassigned
27669,21642,,,Unassigned
27670,21643,,,Unassigned
27671,21644,,,Unassigned
27672,21645,,,Unassigned
27673,21646,,,Unassigned
27674,21647,,,Unassigned
27675,21648,,,Unassigned
27676,21649,,,Unassigned
27677,21650,,,Unassigned
27678,21651,,,Unassigned
27679,21652,,,Unassigned
27680,21653,,,Unassigned
27681,21654,,,Unassigned
27682,21655,,,Unassigned
27683,21656,,,Unassigned
27684,21657,,,Unassigned
27685,21658,,,Unassigned
27686,21659,,,Unassigned
27687,21660,,,Unassigned
27688,21661,,,Unassigned
27689,21662,,,Unassigned
27690,21663,,,Unassigned
27691,21664,,,Unassigned
27692,21665,,,Unassigned
27693,21666,,,Unassigned
27694,21667,,,Unassigned
27695,21668,,,Unassigned
27696,21669,,,Unassigned
27697,21670,,,Unassigned
27698,21671,,,Unassigned
27699,21672,,,Unassigned
27700,21673,,,Unassigned
27701,21674,,,Unassigned
27702,21675,,,Unassigned
27703,21676,,,Unassigned
27704,21677,,,Unassigned
27705,21678,,,Unassigned
27706,21679,,,Unassigned
27707,21680,,,Unassigned
27708,21681,,,Unassigned
27709,21682,,,Unassigned
27710,21683,,,Unassigned
27711,21684,,,Unassigned
27712,21685,,,Unassigned
27713,21686,,,Unassigned
27714,21687,,,Unassigned
27715,21688,,,Unassigned
27716,21689,,,Unassigned
27717,21690,,,Unassigned
27718,21691,,,Unassigned
27719,21692,,,Unassigned
27720,21693,,,Unassigned
27721,21694,,,Unassigned
27722,21695,,,Unassigned
27723,21696,,,Unassigned
27724,21697,,,Unassigned
27725,21698,,,Unassigned
27726,21699,,,Unassigned
27727,21700,,,Unassigned
27728,21701,,,Unassigned
27729,21702,,,Unassigned
27730,21703,,,Unassigned
27731,21704,,,Unassigned
27732,21705,,,Unassigned
27733,21706,,,Unassigned
27734,21707,,,Unassigned
27735,21708,,,Unassigned
27736,21709,,,Unassigned
27737,21710,,,Unassigned
27738,21711,,,Unassigned
27739,21712,,,Unassigned
27740,21713,,,Unassigned
27741,21714,,,Unassigned
27742,21715,,,Unassigned
27743,21716,,,Unassigned
27744,21717,,,Unassigned
27745,21718,,,Unassigned
27746,21719,,,Unassigned
27747,21720,,,Unassigned
27748,21721,,,Unassigned
27749,21722,,,Unassigned
27750,21723,,,Unassigned
27751,21724,,,Unassigned
27752,21725,,,Unassigned
27753,21726,,,Unassigned
27754,21727,,,Unassigned
27755,21728,,,Unassigned
27756,21729,,,Unassigned
27757,21730,,,Unassigned
27758,21731,,,Unassigned
27759,21732,,,Unassigned
27760,21733,,,Unassigned
27761,21734,,,Unassigned
27762,21735,,,Unassigned
27763,21736,,,Unassigned
27764,21737,,,Unassigned
27765,21738,,,Unassigned
27766,21739,,,Unassigned
27767,21740,,,Unassigned
27768,21741,,,Unassigned
27769,21742,,,Unassigned
