Id,Manufacturer Code,Decimal First Serial Number,Decimal Last Serial Number,Manufacturer
144,023,00000000,16777215,LG Electronics
145,024,00000000,16777215,Samsung Telecommunications America
146,025,00000000,16777215,LG Electronics
147,026,00000000,16777215,Nokia Mobile Phones
148,027,00000000,16777215,Motorola
149,028,00000000,16777215,Samsung Telecommunications America
150,029,00000000,16777215,LG Electronics
151,030,00000000,16777215,Motorola
152,031,00000000,16777215,LG Electronics
153,032,00000000,16777215,Samsung Telecommunications America
154,033,00000000,16777215,Nokia Mobile Phones
155,034,00000000,16777215,Kyocera Wireless
156,035,00000000,16777215,LG Electronics
157,036,00000000,16777215,Motorola
158,037,00000000,16777215,Nokia Mobile Phones
159,038,00000000,16777215,Nokia Mobile Phones
160,039,00000000,16777215,LG Electronics
161,040,00000000,16777215,Samsung Telecommunications America
162,041,00000000,16777215,Samsung Telecommunications America
163,042,00000000,16777215,Pantech & Curitel Communications
164,043,00000000,16777215,Nokia Mobile Phones
165,044,00000000,16777215,Nokia Mobile Phones
166,045,00000000,16777215,SANYO Electric
167,046,00000000,16777215,KTF Technologies
168,047,00000000,16777215,Not available
169,048,00000000,16777215,Not available
170,049,00000000,16777215,Hyundai Syscomm
171,050,00000000,16777215,Motorola
172,051,00000000,16777215,Motorola
173,052,00000000,16777215,Motorola
174,053,00000000,16777215,LG Electronics
175,054,00000000,16777215,HTC
176,055,00000000,16777215,Kyocera Wireless
177,056,00000000,16777215,Samsung Telecommunications America
178,057,00000000,16777215,Wherify Wireless
179,058,00000000,16777215,Not available
180,059,00000000,16777215,CMO Tech (Franklin Wirelesss)
181,060,00000000,16777215,Nokia Mobile Phones
182,061,00000000,16777215,Motorola
183,062,00000000,16777215,TCL Communication
184,063,00000000,16777215,Samsung Telecommunications America
185,064,00000000,16777215,Matsushita
186,065,00000000,16777215,Hop-On Wireless
187,066,00000000,16777215,Motorola
188,067,00000000,16777215,Kyocera Wireless
189,068,00000000,16777215,LG Electronics
190,069,00000000,16777215,Kyocera Wireless
191,070,00000000,16777215,Kyocera Zenhua Communications
192,071,00000000,16777215,New Horizons Technologies International
193,072,00000000,16777215,Nokia Mobile Phones
